name,genre,studio,country,duration,age_limit,release,rental_duration,rating
"Hagazussa","Horrors","Warner Brothers Pictures","Germany",102,18,2018,20,5.9
"Dead in a Week Or Your Money Back","Comedy","Good Films Collective","United Kingdom",90,12,2018,6,6.3
"Colette","Drama","Lion's Gate Films","United Kingdom",111,16,2018,27,6.7
"Zimna wojna","Drama","Film i Väst","Poland",84,16,2018,6,7.6
"Dragged Across Concrete","Crime","Thefyzz","USA",159,16,2018,13,6.9
"Ben is Back","Drama","Black Bear Pictures","USA",103,16,2018,13,6.7
"The Hole in the Ground","Horrors","Mirror Productions","Ireland",100,16,2018,20,5.7
"Piercing","Thriller","Sony Pictures Entertainment","USA",81,18,2018,6,5.6
"Racetime","Cartoon","Bron Studios","Canada",87,0,2018,13,5.6
"The School","Horrors","Bron Studios","USA",87,16,2018,13,3.9
"Bilal A New Breed of Hero","Adventure","Foresight","OAU",105,0,2018,6,7.8
"Hurvinek a kouzelne muzeum","Cartoon","Silver Screen","Czech",86,0,2018,13,3.9
"Welcome Home","Thriller","Voltage Pictures","USA",97,16,2018,27,5.2
"Backtrace","Drama","Bron Studios","Canada",96,12,2018,13,3.8
"He's Out There","Horrors","Screen Gems","USA",86,16,2018,6,5.3
"Ritter Rost 2 Das Schrottkomplott","Comedy","Warner Brothers Pictures","Germany",87,0,2018,13,5.7
"Miss Sloane","Thriller","FilmNation Entertainment","USA",132,16,2018,20,7.5
"Three Seconds","Drama","Thunder Road Pictures","United Kingdom",100,16,2019,27,6.6
"On the Basis of Sex","Drama","Focus Features","USA",100,16,2018,27,7.1
"The Front Runner","Biographical","Sony Pictures Entertainment","USA",113,12,2018,27,6.1
"The Mule","Thriller","Warner Brothers Pictures","USA",116,16,2018,34,7.0
"Astérix Le secret de la potion magique","Cartoon","M6 Films","France",85,0,2019,34,6.7
"Upgrade","Action","Automatik Entertainment","USA",100,16,2018,6,7.5
"Tabaluga","Cartoon","Dor Film Produktionsgesellschaft","Germany",85,0,2018,13,5.3
"The Perception","Thriller","Marro Films","USA",80,16,2018,6,4.7
"At Eternity's Gate","Biographical","Riverstone Pictures","United Kingdom",110,16,2019,20,6.9
"High life","Adventure","Canal+","United Kingdom",110,18,2018,13,5.8
"Ad Astra","Fantasy","20th Century Fox","USA",123,12,2019,34,6.5
"Aladdin","Fantasy","Walt Disney Pictures","USA",128,0,2019,55,6.9
"The Possession of Hannah Grace","Horrors","Sony Pictures Entertainment","USA",87,16,2018,13,5.2
"Rocketman","Fantasy","Paramount Pictures","USA",118,16,2019,24,7.3
"Joker","Action","Warner Brothers Pictures","USA",122,16,2018,13,8.4
"Second act","Comedy","Odd Lot Entertainment","USA",103,12,2018,34,5.8
"Maria by Callas","Documentary","Elephant Doc","France",113,16,2018,20,7.2
"My Generation","Documentary","20th Century Fox","United Kingdom",85,12,2018,13,7.1
"Under the Silver Lake","Drama","20th Century Fox","USA",139,16,2018,13,6.5
"Dumplin'","Comedy","Echo Films","USA",110,0,2018,13,6.6
"Monster Island","Cartoon","Pathé","India",80,0,2017,6,4.8
"The Upside","Comedy","STX Entertainment","USA",125,12,2019,20,7.0
"Astral","Horrors","Vertical Entertainment","United Kingdom",83,16,2018,13,4.8
"Beast","Thriller","Vanishing Angle","United Kingdom",107,12,2017,27,6.8
